train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,_c9,_c10,_c11,_c12,_c13,_c14,_c15,_c16,_c17,_c18,_c19,_c20,_c21,_c22,_c23,_c24,_c25
BDŽ 2637:99,BDŽ 2637,99.0,Dobrich,2026-02-27 08:26:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3636:0,BDŽ 3636,0.0,Varna,,2026-02-27 23:45:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:1,BDŽ 3636,1.0,Beloslav,2026-02-27 21:57:00,2026-02-27 21:58:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:2,BDŽ 3636,2.0,Poveljanovo,2026-02-27 22:03:00,2026-02-27 22:21:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:3,BDŽ 3636,3.0,Sindel,2026-02-27 22:28:00,2026-02-27 22:29:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:4,BDŽ 3636,4.0,Dobrina,2026-02-27 22:48:00,2026-02-27 22:49:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:5,BDŽ 3636,5.0,Provadiya,2026-02-27 22:52:00,2026-02-27 22:53:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:6,BDŽ 3636,6.0,Kaspichan,2026-02-27 23:15:00,2026-02-27 23:16:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:7,BDŽ 3636,7.0,Shumen,2026-02-27 23:34:00,2026-02-27 23:36:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:8,BDŽ 3636,8.0,Targovishte,2026-02-27 00:05:00,2026-02-27 00:06:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:9,BDŽ 3636,9.0,Popovo,2026-02-27 00:33:00,2026-02-27 00:34:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:10,BDŽ 3636,10.0,Strazhitsa,2026-02-27 00:59:00,2026-02-27 01:00:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:11,BDŽ 3636,11.0,Gorna Oryahovitsa,2026-02-27 01:20:00,2026-02-27 01:40:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:12,BDŽ 3636,12.0,Mezdra,2026-02-27 04:03:00,2026-02-27 04:06:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:13,BDŽ 3636,13.0,Zverino,2026-02-27 04:23:00,2026-02-27 04:25:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:14,BDŽ 3636,14.0,Svoge,2026-02-27 05:02:00,2026-02-27 05:04:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:15,BDŽ 3636,15.0,Kurilo,2026-02-27 05:26:00,2026-02-27 05:27:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:16,BDŽ 3636,16.0,Sofia Sever,2026-02-27 05:39:00,2026-02-27 05:41:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3636:99,BDŽ 3636,99.0,Sofia,2026-02-27 05:45:00,,,,,,,,,,,,,,,,,,,,,
BDŽ 3637:0,BDŽ 3637,0.0,Sofia,,2026-02-27 23:05:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:1,BDŽ 3637,1.0,Poduiane,2026-02-27 23:12:00,2026-02-27 23:13:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:3,BDŽ 3637,2.0,Iskar,2026-02-27 23:24:00,2026-02-27 23:25:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:4,BDŽ 3637,3.0,Kazichene,2026-02-27 23:31:00,2026-02-27 23:32:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:5,BDŽ 3637,4.0,Zlatica,2026-02-27 00:27:00,2026-02-27 00:28:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:6,BDŽ 3637,5.0,Pirdop,2026-02-27 00:32:00,2026-02-27 00:33:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:7,BDŽ 3637,6.0,Klisura,2026-02-27 01:00:00,2026-02-27 01:01:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:8,BDŽ 3637,7.0,Karlovo,2026-02-27 01:24:00,2026-02-27 01:25:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:9,BDŽ 3637,8.0,Straldzha,2026-02-27 04:17:00,2026-02-27 04:18:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:11,BDŽ 3637,9.0,Karnobat,2026-02-27 04:36:00,2026-02-27 04:38:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:12,BDŽ 3637,10.0,Asparuhovo,2026-02-27 05:50:00,2026-02-27 05:51:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:13,BDŽ 3637,11.0,Komunari,2026-02-27 05:55:00,2026-02-27 05:56:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:14,BDŽ 3637,12.0,Dalgopol,2026-02-27 06:04:00,2026-02-27 06:05:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:15,BDŽ 3637,13.0,Sindel,2026-02-27 06:32:00,2026-02-27 06:33:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:16,BDŽ 3637,14.0,Poveljanovo,2026-02-27 06:43:00,2026-02-27 06:53:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:17,BDŽ 3637,15.0,Beloslav,2026-02-27 06:58:00,2026-02-27 06:59:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3637:99,BDŽ 3637,99.0,Varna,2026-02-27 07:16:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 3686:0,BDŽ 3686,0.0,Burgas,,2026-02-27 22:50:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3686:1,BDŽ 3686,1.0,Sliven,,2026-02-27 00:11:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3686:99,BDŽ 3686,99.0,Sofia,2026-02-27 05:13:00,,,,,,,,,,,,,,,,,,,,,
BDŽ 3687:0,BDŽ 3687,0.0,Sofia,,2026-02-27 23:40:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3687:1,BDŽ 3687,1.0,Pirdop,,2026-02-27 01:03:00,,,,,,,,,,,,,,,,,,,,
BDŽ 3687:2,BDŽ 3687,2.0,Sliven,2026-02-27 04:31:00,,,,,,,,,,,,,,,,,,,,,
BDŽ 3687:99,BDŽ 3687,99.0,Burgas,2026-02-27 05:55:00,,,,,,,,,,,,,,,,,,,,,
BDŽ 8626:0,BDŽ 8626,0.0,Burgas,,2026-02-27 22:55:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:1,BDŽ 8626,1.0,Vladimir Pavlov,,2026-02-27 23:00:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:2,BDŽ 8626,2.0,Aytos,,2026-02-27 23:21:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:3,BDŽ 8626,3.0,Karnobat,,2026-02-27 23:40:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:5,BDŽ 8626,4.0,Straldzha,,2026-02-27 23:55:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:6,BDŽ 8626,5.0,Zimnitsa,,2026-02-27 00:02:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:7,BDŽ 8626,6.0,Jambol,,2026-02-27 00:14:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:8,BDŽ 8626,7.0,Nova Zagora,,2026-02-27 00:40:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:9,BDŽ 8626,8.0,Stara Zagora,,2026-02-27 01:01:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:12,BDŽ 8626,11.0,Elin Pelin,2026-02-27 05:02:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:13,BDŽ 8626,12.0,Kazichene,2026-02-27 05:15:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:14,BDŽ 8626,13.0,Iskar,2026-02-27 05:23:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:16,BDŽ 8626,14.0,Poduiane,2026-02-27 05:12:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8626:99,BDŽ 8626,99.0,Sofia,2026-02-27 05:20:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:0,BDŽ 8627,0.0,Sofia,,2026-02-27 22:50:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:1,BDŽ 8627,1.0,Poduiane,,2026-02-27 22:33:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:3,BDŽ 8627,3.0,Iskar,,2026-02-27 22:45:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:4,BDŽ 8627,4.0,Kazichene,,2026-02-27 22:52:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:5,BDŽ 8627,5.0,Elin Pelin,,2026-02-27 23:04:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:6,BDŽ 8627,6.0,Ihtiman,,2026-02-27 23:36:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:7,BDŽ 8627,7.0,Kostenets,,2026-02-27 23:59:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:8,BDŽ 8627,8.0,Belovo,,2026-02-27 00:26:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:9,BDŽ 8627,9.0,Septemvri,,2026-02-27 00:39:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:10,BDŽ 8627,10.0,Pazardzhik,,2026-02-27 00:50:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:11,BDŽ 8627,11.0,Stambolijski,,2026-02-27 01:02:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:12,BDŽ 8627,12.0,Plovdiv,,2026-02-27 01:17:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:13,BDŽ 8627,13.0,Bezmer,2026-02-27 04:22:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:14,BDŽ 8627,14.0,Jambol,2026-02-27 04:30:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:15,BDŽ 8627,15.0,Zimnitsa,2026-02-27 04:43:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:17,BDŽ 8627,16.0,Karnobat,2026-02-27 05:05:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:18,BDŽ 8627,17.0,Aytos,2026-02-27 05:20:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:19,BDŽ 8627,18.0,Druzhba,2026-02-27 05:32:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:20,BDŽ 8627,19.0,Vladimir Pavlov,2026-02-27 05:44:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8627:99,BDŽ 8627,99.0,Burgas,2026-02-27 05:50:00,,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:0,BDŽ 8656,0.0,Varna,,2026-02-27 23:45:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:1,BDŽ 8656,1.0,Beloslav,,2026-02-27 00:03:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:2,BDŽ 8656,2.0,Sindel,,2026-02-27 00:15:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:3,BDŽ 8656,3.0,Dalgopol,,2026-02-27 00:38:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:4,BDŽ 8656,4.0,Komunari,,2026-02-27 00:46:00,0.0,0.0,,,,,,,,,,,,,,,,,,
BDŽ 8656:5,BDŽ 8656,5.0,Dimitrovgrad,2026-02-27 04:28:00,2026-02-27 04:55:00,0.0,0.0,,,,,,,,,,,,,,,,,,
